iata_97,count_97,iata_04,count_04
ABE,1886,ABI,541
ANC,6705,ACT,503
ATL,151178,AEX,770
BDL,9773,ANC,8968
BHM,7428,AZO,1235
BIL,1064,BDL,10249
BRW,269,BIS,389
DCA,30544,BMI,668
DEN,76150,BOS,41529
DFW,126450,BQK,363
DLG,131,BZN,915
ELP,8414,CHA,1233
EUG,1312,CHS,4022
GNV,695,CMH,10214
GRR,2770,DAY,4035
GTF,677,DLH,419
HPN,1874,DSM,3088
HRL,1463,FLL,24022
IAH,58891,FWA,2029
LFT,150,GFK,180
MGM,615,GRK,533
MIA,29760,GSP,4132
MOT,279,IAH,61543
MSP,63146,LAW,234
MTJ,51,LSE,452
OME,388,MCN,464
PHX,65845,MFE,641
PSC,475,MOB,1412
RDU,9191,MOT,194
SIT,564,MSP,47134
SMF,13425,PFN,932
STX,227,PHF,1465
SWF,962,PHL,58822
TUL,6021,PHX,73045
WRG,341,PIE,515
AVP,557,PSG,330
BTV,1238,PVD,8379
BUF,6855,RIC,4547
BWI,26630,ROC,5829
CAE,2974,RSW,6615
CDV,238,SAV,4301
CMH,15095,SIT,403
CRW,489,SPS,279
DLH,621,SRQ,1689
FSD,1136,SUN,666
GEG,4750,SWF,952
GFK,244,TUS,5212
HLN,314,WRG,257
HNL,5631,BRW,401
HOU,22001,CLD,718
HSV,1943,CMI,760
IAD,19185,COS,3035
IDA,319,CPR,1211
ILM,800,CRP,2075
ISP,564,DAB,1620
JAC,868,DRO,168
MBS,996,EKO,949
MFE,1182,EVV,1517
MKE,5280,FAR,891
MLI,188,GEG,4140
OGG,1302,GJT,1207
OKC,6500,GNV,640
OMA,5452,GPT,1583
ONT,11059,GRR,4498
ORF,5813,GUC,38
PDX,22538,HSV,3279
PNS,2262,IPL,305
ROA,904,JAN,3076
SAN,25379,LAX,78030
SDF,8151,LNK,620
SHV,1060,LWB,61
SLC,44593,MCI,17074
SNA,12415,MCO,36091
SRQ,2508,MDT,2667
STT,653,MEM,17685
SUX,164,MFR,1359
TYS,2372,MTJ,796
ABQ,13504,ONT,11592
ACK,10,ORD,154446
ALB,4237,OTZ,533
AMA,1362,PNS,2331
AVL,462,RDU,18520
BFL,45,SBP,1545
BIS,288,SCC,101
BRO,99,SEA,44464
BTR,2015,SHV,2060
CAK,280,SJT,439
CHS,2948,TPA,21216
CLE,22647,TWF,845
CLT,63774,TXK,242
DAY,3065,WYS,66
DUT,257,YAK,242
ELM,332,ABE,1417
FAR,592,ABQ,11292
FCA,387,ACV,1373
FLL,17043,AKN,184
FNT,439,ATW,739
FWA,580,BFL,760
JAN,3179,BOI,4321
JAX,7651,BPT,473
JNU,1801,BTV,2174
KTN,961,CHO,670
LGA,35918,CLE,21809
MAF,1770,CRW,1474
MCI,19988,CVG,80133
MDW,17233,DCA,23925
MOB,1887,DHN,619
PIT,53199,ERI,192
RAP,213,FAY,632
RIC,5569,FSM,397
RSW,6231,HDN,185
SAT,12302,HOU,22138
SBN,941,HPN,2231
SCC,149,HRL,1624
SEA,39655,HVN,185
SFO,74184,IAD,41998
SJU,8076,ICT,3099
TLH,784,IDA,756
TUS,6234,ILE,625
TVC,402,ISP,3737
AKN,162,ITO,293
AUS,11757,JAC,1237
BOI,4149,LAS,64814
BOS,38863,LFT,865
BUR,8204,LGA,36257
CID,1390,MAF,1932
DSM,1812,MOD,570
EWR,57718,MQT,190
FAI,1253,MRY,1977
GSO,5126,MYR,1953
GST,30,OGD,4
GUC,86,PDX,16256
HDN,231,PIA,1282
LBB,1968,PSC,1128
LEX,1475,RDD,733
LGB,571,SGF,1896
LIT,4940,SJC,18962
LSE,128,SJU,7135
MCO,35355,SMF,18709
MEM,21374,SMX,393
MHT,1761,SYR,4676
MLU,683,VIS,104
MRY,464,VLD,368
MSN,1261,ACK,84
MYR,895,AGS,1215
OTZ,355,ALB,5136
PHL,51143,AMA,1890
PSP,886,ATL,206865
ROC,5596,AVP,884
STL,66917,BET,600
ADQ,209,BGR,1331
AGS,806,BQN,113
AZO,501,CAE,4030
BET,311,CAK,2667
BGM,389,CIC,234
BGR,177,CLL,624
BNA,17071,DFW,119142
BZN,779,DUT,29
CHA,332,EFD,96
COS,5821,ELP,5756
CRP,980,EUG,1625
CVG,43026,FAT,3642
DAB,1597,FLO,319
DAL,18594,FMN,1
DRO,44,GGG,106
DTW,77442,GRB,1538
EGE,427,GTF,572
ERI,417,GTR,452
FAT,864,IND,11051
FAY,435,IYK,127
GRB,708,JFK,39884
GSP,2743,JNU,1820
ICT,1692,KOA,1093
IND,13227,KTN,818
ITH,290,LAN,1509
JFK,18750,LGB,3299
KOA,355,LNY,17
LAN,644,LYH,239
LAS,48440,MEI,452
LAX,92589,MGM,1251
LNK,701,MLB,884
LWB,21,MSY,15295
MDT,2256,OAK,23625
MFR,797,OME,592
MLB,890,ORF,7464
MSO,534,OXR,424
MSY,15773,PBI,8555
OAK,20390,PIH,549
ORD,149106,PIT,20556
PBI,10236,PSP,3734
PSG,353,PUB,2
PVD,7150,RST,479
PWM,1776,SCE,215
RNO,9206,STL,16230
RST,436,STX,127
SAV,1970,TVC,1041
SBA,983,TYR,493
SGF,256,VCT,163
SJC,15426,VPS,2009
SYR,3950,XNA,3459
TOL,604,ABY,426
TPA,22281,ADK,65
TRI,476,ADQ,386
VPS,230,BGM,266
YAK,298,BTR,2264
,,BWI,35875
,,CDC,283
,,CID,1764
,,CKB,3
,,COD,312
,,EWR,53525
,,FAI,1838
,,FCA,429
,,FNT,1879
,,GST,31
,,HLN,396
,,HNL,6537
,,ILM,1024
,,LBB,2223
,,LRD,503
,,MBS,704
,,MDW,33926
,,MLI,1124
,,MLU,827
,,MSN,2282
,,PWM,3371
,,ROA,1343
,,SAN,27137
,,SAT,11123
,,SBA,2438
,,SFO,38591
,,SLC,45568
,,SNA,15275
,,TLH,1726
,,TYS,3605
,,ACY,213
,,APF,45
,,AUS,10630
,,AVL,1292
,,BHM,6466
,,BIL,1205
,,BNA,17850
,,BRO,321
,,BTM,199
,,BUF,8231
,,BUR,8497
,,CDV,299
,,CEC,289
,,CLT,43566
,,CSG,553
,,DAL,15477
,,DBQ,306
,,DEN,50668
,,DLG,149
,,DTW,52647
,,EGE,370
,,EYW,374
,,FSD,1298
,,GSO,5191
,,HTS,250
,,JAX,8991
,,LCH,240
,,LEX,3026
,,LIH,987
,,LIT,5237
,,MHT,6001
,,MIA,22788
,,MKE,5028
,,MKK,18
,,MSO,900
,,OGG,2593
,,OKC,6516
,,OMA,5599
,,RAP,859
,,RDM,786
,,RNO,9601
,,SBN,1601
,,SDF,6744
,,SGU,1143
,,STT,896
,,TOL,1519
,,TRI,1025
,,TUL,5901
,,YUM,441
